00:49:54.195 [background-preinit] INFO  [] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
00:49:54.249 [main] INFO  [] sa.qiwa.cache.search.ms.EntitySearchServiceApplication - Starting EntitySearchServiceApplication using Java 21.0.1 with PID 3220 (D:\web-services-projects\spring-boot-microservices\cache-search\entity-search-service\target\classes started by Mohsin Mahmood in D:\web-services-projects\spring-boot-microservices\cache-search)
00:49:54.250 [main] INFO  [] sa.qiwa.cache.search.ms.EntitySearchServiceApplication - The following 1 profile is active: "prod"
00:49:55.253 [main] INFO  [] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
00:49:55.289 [main] INFO  [] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 29 ms. Found 0 Elasticsearch repository interfaces.
00:49:55.304 [main] INFO  [] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
00:49:55.314 [main] INFO  [] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Reactive Elasticsearch repository interfaces.
00:49:56.196 [main] INFO  [] sa.qiwa.cache.search.ms.foundation.config.EntitySearchConfigurationImpl - Configuration to initialize Reactive client for elasticsearch is started.
00:49:56.207 [main] INFO  [] sa.qiwa.cache.search.ms.foundation.config.EntitySearchConfigurationImpl - Reactive Elasticsearch Client Configurations are created.
00:49:56.432 [main] INFO  [] sa.qiwa.cache.search.ms.foundation.util.CommonUtility - initializing SSLContext is started.
00:49:56.499 [main] INFO  [] sa.qiwa.cache.search.ms.foundation.util.CommonUtility -  SSLContext is initialized.
00:49:57.684 [main] INFO  [] org.springframework.boot.web.embedded.netty.NettyWebServer - Netty started on port 9001
00:49:57.695 [main] INFO  [] sa.qiwa.cache.search.ms.EntitySearchServiceApplication - Started EntitySearchServiceApplication in 4.107 seconds (process running for 5.255)
00:50:47.874 [background-preinit] INFO  [] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
00:50:47.926 [main] INFO  [] sa.qiwa.cache.search.ms.EntitySearchServiceApplication - Starting EntitySearchServiceApplication using Java 21.0.1 with PID 19468 (D:\web-services-projects\spring-boot-microservices\cache-search\entity-search-service\target\classes started by Mohsin Mahmood in D:\web-services-projects\spring-boot-microservices\cache-search)
00:50:47.927 [main] INFO  [] sa.qiwa.cache.search.ms.EntitySearchServiceApplication - The following 1 profile is active: "prod"
00:50:48.822 [main] INFO  [] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
00:50:48.854 [main] INFO  [] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 27 ms. Found 0 Elasticsearch repository interfaces.
00:50:48.866 [main] INFO  [] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
00:50:48.874 [main] INFO  [] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 Reactive Elasticsearch repository interfaces.
00:50:49.792 [main] INFO  [] sa.qiwa.cache.search.ms.foundation.config.EntitySearchConfigurationImpl - Configuration to initialize Reactive client for elasticsearch is started.
00:50:49.801 [main] INFO  [] sa.qiwa.cache.search.ms.foundation.config.EntitySearchConfigurationImpl - Reactive Elasticsearch Client Configurations are created.
00:50:50.002 [main] INFO  [] sa.qiwa.cache.search.ms.foundation.util.CommonUtility - initializing SSLContext is started.
00:50:50.098 [main] INFO  [] sa.qiwa.cache.search.ms.foundation.util.CommonUtility -  SSLContext is initialized.
00:50:51.403 [main] INFO  [] org.springframework.boot.web.embedded.netty.NettyWebServer - Netty started on port 9001
00:50:51.412 [main] INFO  [] sa.qiwa.cache.search.ms.EntitySearchServiceApplication - Started EntitySearchServiceApplication in 4.149 seconds (process running for 5.279)
